fecha,casos confirmados
2020-05-21,65288
2020-05-22,65605
2020-05-23,65787
2020-05-24,66028
2020-05-25,66105
2020-05-26,66380
2020-05-27,66580
2020-05-28,66835
2020-05-29,67150
2020-05-30,67343
2020-05-31,67430
2020-06-01,67470
2020-06-02,67644
2020-06-03,67644
2020-06-04,68206
2020-06-05,68281
2020-06-06,68412
2020-06-07,68480
2020-06-08,68593
2020-06-09,68737
2020-06-10,68839
2020-06-11,69003
2020-06-12,69207
2020-06-13,69363
2020-06-14,69496
2020-06-15,69594
2020-06-16,69693
2020-06-17,69887
2020-06-18,70042
2020-06-19,70259
2020-06-20,70402
2020-06-21,70557
2020-06-22,70690
2020-06-23,70847
